variant,m,median_seconds,gflops,cycles,instructions,ipc,fp_ops,fp_ops_per_cycle,l1d_miss_rate,l2_load_hit_rate,l3_miss_rate,tlb_walk_per_kinst,dtlb_load_miss_per_kinst,min_mux_pct
loop_jki,1024,0.898160,0.298873,7263617441.000000,2178612198.000000,0.299935,541589519.000000,0.074562,0.968473,0.282010,0.664448,0.014717,1.389425,100.000000
loop_jki,2048,4.964872,0.216268,39990831577.000000,8700038568.000000,0.217551,2165309455.000000,0.054145,1.246208,0.018966,0.774379,0.018257,123.111853,100.000000
loop_jki,4096,24.627493,0.174397,201381096967.000000,34782020154.000000,0.172717,8659140623.000000,0.042999,0.687888,0.061532,0.610707,0.021177,137.274308,100.000000
loop_kij,512,0.002624,25.576769,29256701.000000,72966135.000000,2.493997,135528463.000000,4.632390,0.226682,0.834058,0.111661,0.041677,0.116588,100.000000
loop_kij,1024,0.024991,10.741426,225327422.000000,283557866.000000,1.258426,541589519.000000,2.403567,0.223943,0.824422,0.141050,0.014473,0.176222,100.000000
loop_kij,2048,0.144080,7.452375,1253176979.000000,1120621877.000000,0.894225,2165309455.000000,1.727856,0.236613,0.773110,0.160096,0.007675,7.508352,100.000000
loop_kij,4096,0.981604,4.375457,8208313971.000000,4460110248.000000,0.543365,8659140623.000000,1.054923,0.246082,0.759471,0.143606,0.009517,7.726080,100.000000
loop_kji,512,0.077638,0.864385,644972603.000000,546793672.000000,0.847778,135528463.000000,0.210131,1.000897,0.365471,0.489298,0.009289,0.622502,100.000000
loop_kji,1024,0.922520,0.290981,7452599560.000000,2178442129.000000,0.292306,541589519.000000,0.072671,0.960981,0.351821,0.590852,0.014595,0.619161,100.000000
loop_kji,2048,4.185317,0.256550,34158267974.000000,8697512609.000000,0.254624,2165309455.000000,0.063390,1.267067,0.043934,0.755351,0.016968,57.335162,100.000000
loop_kji,4096,28.235235,0.152114,229663927116.000000,34809413585.000000,0.151567,8659140623.000000,0.037704,0.552575,0.085841,0.569910,0.023424,136.512497,100.000000
tiled_ikj,512,0.002602,25.787486,27214470.000000,72415773.000000,2.660929,135528463.000000,4.980015,0.220752,0.938931,0.020316,0.034164,0.082247,100.000000
tiled_ikj,1024,0.010404,25.800149,92963744.000000,281448499.000000,3.027508,541589519.000000,5.825814,0.219040,0.960640,0.011400,0.011910,0.046126,100.000000
tiled_ikj,2048,0.038419,27.948201,342523610.000000,1112191018.000000,3.247049,2165309455.000000,6.321636,0.218553,0.975935,0.006448,0.004535,0.039475,100.000000
tiled_ikj,4096,0.155045,27.701493,1341120913.000000,4425550582.000000,3.299889,8659140623.000000,6.456644,0.218404,0.978630,0.004972,0.002594,0.037016,100.000000
tiled_ikj_avx2,512,0.000802,83.689097,14615848.000000,27575061.000000,1.886655,135528463.000000,9.272706,0.205380,0.757248,0.096517,0.088558,0.196446,100.000000
tiled_ikj_avx2,1024,0.003309,81.122686,49706663.000000,102008347.000000,2.052207,541589519.000000,10.895713,0.194518,0.799902,0.104733,0.031595,0.144018,100.000000
